Отметка времени,Ваша роль,Укажите степень используемых практик [Политики и стандарты по данным документированы и действуют],Укажите степень используемых практик [Определены владельцы данных/доменов (RACI)],Укажите степень используемых практик [Назначены Data Stewards и понятны их обязанности],Укажите степень используемых практик [Ведётся каталог данных (актуальные метаданные)],Укажите степень используемых практик [Отслеживается lineage ключевых наборов данных],"Укажите степень используемых практик [Контроль доступа (RBAC/ABAC), принцип наименьших привилегий]","Укажите степень используемых практик [Процедуры качества данных (SLA/метрики, мониторинг)]",Укажите степень используемых практик [Классификация данных и политика хранения/ретенции],Укажите степень используемых практик [Процессы соответствия требованиям (GDPR/152-ФЗ/ISO)],Укажите степень сложностей с которыми сталкивались [Отсутствие ответственности/владельцев данных],Укажите степень сложностей с которыми сталкивались [Разрозненность источников и «силосы»],"Укажите степень сложностей с которыми сталкивались [Низкое качество данных (дубликаты, пропуски, рассинхрон)]",Укажите степень сложностей с которыми сталкивались [«Теневые» решения и фрагментация инструментов],Укажите степень сложностей с которыми сталкивались [Сопротивление изменениям/культурные барьеры],Укажите степень сложностей с которыми сталкивались [Нехватка бюджета/ресурсов на Data Governance],Укажите степень сложностей с которыми сталкивались [Долгие согласования доступа к данным],Укажите степень сложностей с которыми сталкивались [Отсутствие метрик и KPI по управлению данными],Укажите степень сложностей с которыми сталкивались [Недостаточная поддержка со стороны руководства],Какая одна практика дала наибольший эффект и почему?,Что больше всего мешает развитию Data Governance в вашей организации?
22.10.2025 12:09:05,Data Analyst,4,3,2,4,4,3,3,3,3,2,4,2,3,2,3,3,5 — критично,2,Каталог данных — сократил время на поиск источников и повысил прозрачность.,Недостаток времени у команд на stewardship и документацию.
24.10.2025 01:44:23,Data Analyst,2,3,2,3,3,4,5 — внедрено и эффективно,3,5 — внедрено и эффективно,5 — критично,3,1 — не проблема,3,3,1 — не проблема,3,3,2,"Введение RACI: стало ясно, кто владелец набора данных и кто принимает решения.",Недостаток времени у команд на stewardship и документацию.
24.10.2025 21:18:52,Data Engineer,4,4,3,4,2,3,3,4,3,1 — не проблема,4,2,3,5 — критично,3,2,2,4,RBAC и шаблоны доступов — безопаснее и быстрее онбординг.,Сопротивление изменениям: «и так работает».
25.10.2025 20:12:50,Data Analyst,3,4,4,3,3,3,1 — не внедрено,2,3,3,4,3,3,4,2,3,2,4,SLA и мониторинг качества — быстрее ловим регрессии и инциденты.,Сложные согласования доступа между подразделениями.
23.10.2025 20:36:06,Data Engineer,3,4,4,4,3,4,2,4,3,2,5 — критично,3,4,3,4,5 — критично,2,2,"Введение RACI: стало ясно, кто владелец набора данных и кто принимает решения.","Нет централизованных метрик по качеству, решаем ситуативно."
21.10.2025 10:25:12,Руководитель,3,4,3,3,3,1 — не внедрено,3,2,3,2,2,3,2,3,2,3,2,4,SLA и мониторинг качества — быстрее ловим регрессии и инциденты.,Сопротивление изменениям: «и так работает».
25.10.2025 19:49:29,Руководитель,3,4,3,3,3,4,3,3,3,4,5 — критично,3,4,3,4,4,4,1 — не проблема,SLA и мониторинг качества — быстрее ловим регрессии и инциденты.,Недостаток времени у команд на stewardship и документацию.
21.10.2025 17:44:17,Compliance/Legal,3,2,3,3,2,4,5 — внедрено и эффективно,1 — не внедрено,3,3,3,3,2,2,4,4,3,2,Документирование стандартов именования — меньше разнобоя в витринах.,Сопротивление изменениям: «и так работает».
25.10.2025 03:26:30,Compliance/Legal,3,3,3,4,2,4,2,4,4,2,4,3,4,4,3,4,3,2,Каталог данных — сократил время на поиск источников и повысил прозрачность.,"Нет централизованных метрик по качеству, решаем ситуативно."
25.10.2025 21:03:27,Другое,3,3,3,4,2,4,4,3,2,4,4,3,2,3,4,2,4,3,Документирование стандартов именования — меньше разнобоя в витринах.,"Нет централизованных метрик по качеству, решаем ситуативно."
21.10.2025 14:42:51,Product,2,4,2,4,4,4,2,2,2,1 — не проблема,5 — критично,3,2,2,2,3,2,4,RBAC и шаблоны доступов — безопаснее и быстрее онбординг.,"Нет централизованных метрик по качеству, решаем ситуативно."
22.10.2025 14:49:48,Data Engineer,3,3,3,5 — внедрено и эффективно,4,3,3,3,4,3,3,2,3,2,4,3,2,3,RBAC и шаблоны доступов — безопаснее и быстрее онбординг.,"Нет централизованных метрик по качеству, решаем ситуативно."
22.10.2025 09:30:05,Data Engineer,3,3,4,2,1 — не внедрено,4,3,3,4,3,4,3,3,2,2,4,4,1 — не проблема,"Введение RACI: стало ясно, кто владелец набора данных и кто принимает решения.",Разрозненность источников и дублирование пайплайнов.
22.10.2025 21:38:27,Data Analyst,2,3,4,3,3,2,5 — внедрено и эффективно,4,4,4,4,4,3,4,3,5 — критично,2,2,RBAC и шаблоны доступов — безопаснее и быстрее онбординг.,Недостаток времени у команд на stewardship и документацию.
23.10.2025 05:33:45,Data Engineer,4,4,3,3,3,3,5 — внедрено и эффективно,4,4,3,3,4,5 — критично,4,3,4,3,4,SLA и мониторинг качества — быстрее ловим регрессии и инциденты.,Сопротивление изменениям: «и так работает».
22.10.2025 19:40:50,Data Engineer,3,2,3,4,5 — внедрено и эффективно,3,3,2,2,1 — не проблема,4,2,4,4,3,5 — критично,3,4,Каталог данных — сократил время на поиск источников и повысил прозрачность.,Разрозненность источников и дублирование пайплайнов.
23.10.2025 03:50:07,Руководитель,3,4,2,4,3,3,4,3,3,4,4,2,4,4,2,4,2,4,"Введение RACI: стало ясно, кто владелец набора данных и кто принимает решения.",Сопротивление изменениям: «и так работает».
24.10.2025 07:57:19,Data Engineer,3,3,4,3,4,3,3,2,3,4,4,4,2,2,3,4,3,3,SLA и мониторинг качества — быстрее ловим регрессии и инциденты.,Сопротивление изменениям: «и так работает».
25.10.2025 08:06:46,Data Engineer,4,3,3,5 — внедрено и эффективно,3,4,5 — внедрено и эффективно,3,4,3,5 — критично,1 — не проблема,2,2,5 — критично,4,3,2,Каталог данных — сократил время на поиск источников и повысил прозрачность.,Недостаток времени у команд на stewardship и документацию.
25.10.2025 20:05:10,Руководитель,4,3,2,2,2,4,3,3,3,2,3,2,3,4,2,2,4,3,RBAC и шаблоны доступов — безопаснее и быстрее онбординг.,Недостаток времени у команд на stewardship и документацию.
23.10.2025 21:52:42,Compliance/Legal,3,1 — не внедрено,3,4,4,3,3,3,4,2,3,3,3,2,3,3,3,3,SLA и мониторинг качества — быстрее ловим регрессии и инциденты.,Сложные согласования доступа между подразделениями.
23.10.2025 04:29:40,Руководитель,4,2,4,4,3,5 — внедрено и эффективно,3,4,3,2,5 — критично,5 — критично,4,4,3,2,3,4,SLA и мониторинг качества — быстрее ловим регрессии и инциденты.,"Нет централизованных метрик по качеству, решаем ситуативно."
21.10.2025 00:39:31,Data Engineer,2,3,1 — не внедрено,4,4,3,3,4,3,2,2,2,4,2,4,4,3,2,Каталог данных — сократил время на поиск источников и повысил прозрачность.,"Нет централизованных метрик по качеству, решаем ситуативно."
23.10.2025 18:49:43,Product,4,3,3,2,4,3,1 — не внедрено,3,4,5 — критично,3,2,5 — критично,3,3,2,2,4,RBAC и шаблоны доступов — безопаснее и быстрее онбординг.,"Нет централизованных метрик по качеству, решаем ситуативно."
26.10.2025 12:42:05,BI-аналитик,3,3,3,5 — внедрено и эффективно,2,4,3,3,2,4,5 — критично,3,2,2,3,3,3,3,Каталог данных — сократил время на поиск источников и повысил прозрачность.,Недостаток времени у команд на stewardship и документацию.
22.10.2025 01:46:36,Data Engineer,2,4,3,3,3,4,3,2,4,3,3,2,3,2,3,4,3,4,SLA и мониторинг качества — быстрее ловим регрессии и инциденты.,Сложные согласования доступа между подразделениями.
25.10.2025 04:32:47,Product,3,3,3,3,4,4,3,4,3,3,2,4,3,3,3,3,3,3,"Введение RACI: стало ясно, кто владелец набора данных и кто принимает решения.",Сопротивление изменениям: «и так работает».
24.10.2025 23:11:51,Data Engineer,3,3,3,4,3,3,4,4,4,3,3,2,4,1 — не проблема,3,3,4,3,"Введение RACI: стало ясно, кто владелец набора данных и кто принимает решения.",Сопротивление изменениям: «и так работает».
23.10.2025 15:34:22,BI-аналитик,2,2,2,4,3,3,3,3,4,2,3,5 — критично,4,3,4,3,3,4,"Введение RACI: стало ясно, кто владелец набора данных и кто принимает решения.",Сопротивление изменениям: «и так работает».
21.10.2025 14:10:27,Data Engineer,5 — внедрено и эффективно,2,4,5 — внедрено и эффективно,3,4,4,3,4,3,2,4,3,4,5 — критично,4,3,3,Документирование стандартов именования — меньше разнобоя в витринах.,Сложные согласования доступа между подразделениями.
21.10.2025 20:08:13,Compliance/Legal,3,4,2,3,1 — не внедрено,4,3,3,3,3,3,3,3,4,3,3,3,4,Каталог данных — сократил время на поиск источников и повысил прозрачность.,Сложные согласования доступа между подразделениями.
24.10.2025 04:37:00,Руководитель,4,3,4,5 — внедрено и эффективно,2,3,2,4,3,2,3,4,3,3,4,2,2,5 — критично,SLA и мониторинг качества — быстрее ловим регрессии и инциденты.,Недостаток времени у команд на stewardship и документацию.
