ticket_id,customer_id,agent_id,category,created_at,first_response_at,resolved_at,satisfaction_score,is_repeat
T100021,C022,A06,ORDER,2024-02-14 08:01:00,2024-02-14 09:52:00,2024-02-14 19:34:00,4.3,False
T100022,C023,A07,ORDER,2024-01-22 16:28:00,2024-01-22 18:24:00,2024-01-23 02:50:00,4.8,False
T100023,C024,A08,ORDER,2024-04-21 12:18:00,2024-04-21 13:04:00,2024-04-22 14:02:00,4.3,False
T100024,C025,A01,ORDER,2024-04-03 21:43:00,2024-04-03 23:04:00,2024-04-06 02:48:00,4.3,False
T100025,C026,A02,ORDER,2024-03-18 10:33:00,2024-03-18 11:24:00,2024-03-19 15:26:00,4.6,False
T100026,C027,A03,ORDER,2024-02-18 07:04:00,2024-02-18 08:05:00,2024-02-19 15:24:00,3.3,False
T100027,C028,A04,ORDER,2024-04-08 14:08:00,2024-04-08 15:24:00,2024-04-09 14:57:00,3.6,False
T100028,C029,A05,ORDER,2024-03-06 15:48:00,2024-03-06 16:39:00,2024-03-09 11:46:00,3.1,False
T100029,C030,A06,ORDER,2024-02-23 10:32:00,2024-02-23 12:08:00,2024-02-25 11:54:00,3.7,False
T100030,C031,A07,ORDER,2024-02-24 13:26:00,2024-02-24 13:51:00,2024-02-26 13:25:00,5.0,False
T100031,C032,A08,ORDER,2024-01-28 11:18:00,2024-01-28 12:39:00,2024-01-29 19:05:00,3.7,False
T100032,C033,A01,ORDER,2024-01-12 07:20:00,2024-01-12 09:18:00,2024-01-13 21:49:00,4.7,False
T100033,C034,A02,ORDER,2024-03-07 07:31:00,2024-03-07 09:13:00,2024-03-09 23:17:00,3.2,False
T100034,C035,A03,ORDER,2024-04-16 21:46:00,2024-04-16 21:54:00,2024-04-18 21:12:00,3.9,False
T100035,C036,A04,ORDER,2024-01-08 16:12:00,2024-01-08 16:28:00,2024-01-11 02:53:00,3.7,False
T100036,C037,A05,ORDER,2024-04-12 02:17:00,2024-04-12 03:33:00,2024-04-12 05:40:00,3.4,False
T100037,C038,A06,ORDER,2024-04-09 23:05:00,2024-04-10 00:56:00,2024-04-12 13:02:00,3.7,False
T100038,C039,A07,ORDER,2024-02-03 17:05:00,2024-02-03 18:46:00,2024-02-06 13:33:00,4.3,False
T100039,C040,A08,ORDER,2024-03-16 01:12:00,2024-03-16 03:00:00,2024-03-18 01:28:00,4.0,False
T100040,C041,A01,ORDER,2024-01-20 17:28:00,2024-01-20 17:48:00,2024-01-23 14:21:00,4.7,False
T100041,C042,A02,ORDER,2024-03-31 14:09:00,2024-03-31 15:12:00,2024-04-02 07:14:00,4.8,False
T100042,C043,A03,ORDER,2024-03-25 21:58:00,2024-03-25 23:25:00,2024-03-26 18:12:00,4.0,False
T100043,C044,A04,ORDER,2024-02-12 11:44:00,2024-02-12 13:00:00,2024-02-14 07:34:00,5.0,False
T100044,C045,A05,ORDER,2024-01-09 12:26:00,2024-01-09 13:59:00,2024-01-11 09:51:00,3.1,False
T100045,C046,A06,ORDER,2024-04-26 07:33:00,2024-04-26 08:00:00,2024-04-26 18:23:00,3.6,False
T100046,C047,A07,ORDER,2024-02-23 07:43:00,2024-02-23 08:39:00,2024-02-23 22:39:00,3.8,False
T100047,C048,A08,ORDER,2024-04-17 14:49:00,2024-04-17 15:44:00,2024-04-18 12:09:00,4.2,False
T100048,C049,A01,ORDER,2024-03-22 19:51:00,2024-03-22 21:43:00,2024-03-24 11:29:00,4.1,False
T100049,C050,A02,ORDER,2024-04-03 21:22:00,2024-04-03 21:48:00,2024-04-04 08:26:00,4.1,False
T100050,C051,A03,ORDER,2024-04-01 18:29:00,2024-04-01 19:10:00,2024-04-04 02:05:00,4.8,False
T100051,C052,A04,ORDER,2024-01-24 14:38:00,2024-01-24 14:43:00,2024-01-24 22:57:00,3.6,False
T100052,C053,A05,ORDER,2024-02-13 12:00:00,2024-02-13 12:20:00,2024-02-16 07:41:00,4.6,False
T100053,C054,A06,ORDER,2024-02-26 08:09:00,2024-02-26 10:06:00,2024-02-28 08:58:00,4.1,False
T100054,C055,A07,ORDER,2024-02-29 18:25:00,2024-02-29 20:07:00,2024-03-01 19:10:00,4.0,False
T100055,C056,A08,ORDER,2024-01-06 07:38:00,2024-01-06 08:11:00,2024-01-07 10:46:00,3.6,False
T100056,C057,A01,ORDER,2024-03-06 06:25:00,2024-03-06 07:50:00,2024-03-08 08:30:00,3.6,False
T100057,C058,A02,ORDER,2024-01-19 20:49:00,2024-01-19 22:01:00,2024-01-20 03:39:00,3.8,False
T100058,C059,A03,ORDER,2024-03-30 14:08:00,2024-03-30 15:57:00,2024-04-01 17:51:00,4.5,False
T100059,C060,A04,ORDER,2024-03-22 08:30:00,2024-03-22 09:08:00,2024-03-24 00:28:00,4.0,False
T100060,C061,A05,ORDER,2024-04-20 20:45:00,2024-04-20 22:44:00,2024-04-21 13:03:00,3.3,False
T100061,C062,A06,ORDER,2024-03-30 23:06:00,2024-03-30 23:52:00,2024-04-02 15:45:00,4.5,False
T100062,C063,A07,ORDER,2024-02-13 07:37:00,2024-02-13 09:03:00,2024-02-15 05:05:00,4.3,False
T100063,C064,A08,ORDER,2024-04-26 12:30:00,2024-04-26 13:19:00,2024-04-27 00:42:00,4.9,False
T100064,C065,A01,ORDER,2024-02-19 11:36:00,2024-02-19 12:57:00,2024-02-21 10:57:00,4.1,False
T100065,C066,A02,ORDER,2024-02-09 16:50:00,2024-02-09 17:32:00,2024-02-10 22:44:00,4.3,False
T100066,C067,A03,ORDER,2024-04-18 22:49:00,2024-04-19 00:30:00,2024-04-21 05:56:00,4.0,False
T100067,C068,A04,ORDER,2024-02-14 13:09:00,2024-02-14 14:26:00,2024-02-16 00:50:00,4.4,False
T100068,C069,A05,ORDER,2024-01-10 19:09:00,2024-01-10 19:45:00,2024-01-13 19:08:00,3.9,False
T100069,C070,A06,ORDER,2024-02-26 14:17:00,2024-02-26 16:12:00,2024-02-29 09:05:00,3.3,False
T100070,C071,A07,ORDER,2024-04-05 21:17:00,2024-04-05 22:42:00,2024-04-06 00:39:00,5.0,False
T100071,C072,A08,ORDER,2024-01-23 09:42:00,2024-01-23 10:35:00,2024-01-24 15:35:00,4.4,False
T100072,C073,A01,ORDER,2024-02-25 09:14:00,2024-02-25 09:32:00,2024-02-26 00:11:00,4.2,False
T100073,C074,A02,ORDER,2024-01-16 10:08:00,2024-01-16 12:04:00,2024-01-17 18:49:00,4.0,False
T100074,C075,A03,ORDER,2024-03-23 23:54:00,2024-03-24 01:25:00,2024-03-24 10:46:00,4.4,False
T100075,C076,A04,ORDER,2024-02-27 14:40:00,2024-02-27 16:01:00,2024-02-29 05:28:00,3.3,False
T100076,C077,A05,ORDER,2024-02-09 03:39:00,2024-02-09 05:19:00,2024-02-09 15:11:00,3.7,False
T100077,C078,A06,ORDER,2024-01-28 00:58:00,2024-01-28 02:12:00,2024-01-29 22:01:00,3.2,False
T100078,C079,A07,ORDER,2024-03-08 12:27:00,2024-03-08 12:57:00,2024-03-09 21:25:00,3.3,False
T100079,C080,A08,ORDER,2024-03-21 19:20:00,2024-03-21 19:50:00,2024-03-24 18:50:00,3.0,False
T100080,C081,A01,ORDER,2024-04-22 11:30:00,2024-04-22 11:42:00,2024-04-25 02:48:00,4.5,False
T100081,C082,A02,ORDER,2024-02-22 13:26:00,2024-02-22 13:36:00,2024-02-24 08:50:00,3.5,False
T100082,C083,A03,ORDER,2024-01-20 19:09:00,2024-01-20 20:37:00,2024-01-22 03:44:00,4.7,False
T100083,C084,A04,ORDER,2024-04-09 12:23:00,2024-04-09 14:05:00,2024-04-11 16:04:00,4.8,False
T100084,C085,A05,ORDER,2024-03-16 21:48:00,2024-03-16 22:10:00,2024-03-18 22:05:00,3.3,False
T100085,C086,A06,ORDER,2024-03-25 15:18:00,2024-03-25 16:28:00,2024-03-26 01:45:00,4.4,False
T100086,C087,A07,ORDER,2024-01-12 17:32:00,2024-01-12 17:49:00,2024-01-13 20:57:00,3.9,False
T100087,C088,A08,ORDER,2024-02-07 18:45:00,2024-02-07 19:36:00,2024-02-10 18:11:00,4.8,False
T100088,C089,A01,ORDER,2024-04-02 15:02:00,2024-04-02 16:37:00,2024-04-03 14:23:00,4.0,False
T100089,C090,A02,ORDER,2024-04-09 01:12:00,2024-04-09 02:50:00,2024-04-09 02:38:00,3.8,False
T100090,C091,A03,ORDER,2024-02-22 10:15:00,2024-02-22 12:09:00,2024-02-24 22:23:00,3.6,False
T100091,C092,A04,ORDER,2024-04-06 03:23:00,2024-04-06 04:02:00,2024-04-08 22:34:00,4.8,False
T100092,C093,A05,ORDER,2024-04-11 12:14:00,2024-04-11 14:08:00,2024-04-13 11:36:00,3.5,False
T100093,C094,A06,ORDER,2024-02-16 03:26:00,2024-02-16 05:00:00,2024-02-18 01:20:00,4.7,False
T100094,C095,A07,ORDER,2024-04-17 12:13:00,2024-04-17 12:55:00,2024-04-18 13:48:00,3.4,False
T100095,C096,A08,ORDER,2024-02-04 08:15:00,2024-02-04 08:56:00,2024-02-05 10:26:00,4.3,False
T100096,C097,A01,ORDER,2024-01-29 00:29:00,2024-01-29 00:44:00,2024-01-31 18:20:00,3.9,False
T100097,C098,A02,ORDER,2024-03-22 02:59:00,2024-03-22 04:49:00,2024-03-24 16:50:00,3.2,False
T100098,C099,A03,ORDER,2024-03-17 12:04:00,2024-03-17 12:30:00,2024-03-19 00:12:00,3.3,False
T100099,C100,A04,ORDER,2024-01-17 01:53:00,2024-01-17 02:27:00,2024-01-18 00:46:00,3.6,False
T100100,C101,A05,ORDER,2024-04-09 20:32:00,2024-04-09 21:23:00,2024-04-10 10:29:00,4.5,False
T100101,C102,A06,ORDER,2024-01-24 18:12:00,2024-01-24 18:31:00,2024-01-24 19:28:00,4.5,False
T100102,C103,A07,ORDER,2024-04-06 17:01:00,2024-04-06 18:38:00,2024-04-08 04:04:00,3.4,False
T100103,C104,A08,ORDER,2024-01-01 04:07:00,2024-01-01 05:31:00,2024-01-02 20:13:00,4.0,False
T100104,C105,A01,ORDER,2024-04-05 19:05:00,2024-04-05 19:26:00,2024-04-07 19:49:00,3.2,False
T100105,C106,A02,ORDER,2024-04-04 15:13:00,2024-04-04 15:35:00,2024-04-07 01:16:00,4.4,False
T100106,C107,A03,ORDER,2024-04-03 09:22:00,2024-04-03 09:27:00,2024-04-04 12:06:00,4.6,False
T100107,C108,A04,ORDER,2024-03-20 00:00:00,2024-03-20 01:54:00,2024-03-20 12:25:00,4.8,False
T100108,C109,A05,ORDER,2024-02-26 12:41:00,2024-02-26 13:34:00,2024-02-29 01:30:00,4.8,False
T100109,C110,A06,ORDER,2024-03-25 19:06:00,2024-03-25 20:25:00,2024-03-28 02:06:00,3.7,False
T100110,C111,A07,ORDER,2024-02-03 00:48:00,2024-02-03 01:08:00,2024-02-04 15:25:00,3.5,False
T100111,C112,A08,ORDER,2024-04-03 01:15:00,2024-04-03 01:45:00,2024-04-03 04:33:00,4.8,False
T100112,C113,A01,ORDER,2024-03-07 09:11:00,2024-03-07 10:17:00,2024-03-08 19:07:00,3.3,False
T100113,C114,A02,ORDER,2024-02-25 12:16:00,2024-02-25 12:43:00,2024-02-27 09:02:00,3.1,False
T100114,C115,A03,ORDER,2024-03-01 11:23:00,2024-03-01 12:37:00,2024-03-04 01:16:00,3.6,False
T100115,C116,A04,ORDER,2024-03-09 10:13:00,2024-03-09 12:04:00,2024-03-10 23:03:00,4.5,False
T100116,C117,A05,ORDER,2024-01-05 06:07:00,2024-01-05 06:45:00,2024-01-06 15:42:00,4.4,False
T100117,C118,A06,ORDER,2024-01-17 01:26:00,2024-01-17 02:40:00,2024-01-18 05:06:00,5.0,False
T100118,C119,A07,ORDER,2024-01-30 00:44:00,2024-01-30 02:34:00,2024-01-31 06:51:00,3.7,False
T100119,C120,A08,ORDER,2024-01-14 02:22:00,2024-01-14 04:09:00,2024-01-14 04:02:00,3.6,False
T100120,C121,A01,ORDER,2024-02-22 16:34:00,2024-02-22 16:37:00,2024-02-23 00:28:00,3.8,False
T100121,C122,A02,ORDER,2024-03-21 18:51:00,2024-03-21 19:06:00,2024-03-24 01:25:00,4.6,False
T100122,C123,A03,ORDER,2024-03-19 10:26:00,2024-03-19 12:24:00,2024-03-20 12:51:00,3.4,False
T100123,C124,A04,ORDER,2024-02-26 01:51:00,2024-02-26 03:42:00,2024-02-28 15:10:00,4.9,False
T100124,C125,A05,ORDER,2024-04-12 09:58:00,2024-04-12 10:38:00,2024-04-13 14:51:00,4.0,False
T100125,C126,A06,ORDER,2024-03-08 23:39:00,2024-03-09 00:42:00,2024-03-11 23:25:00,4.6,False
T100126,C127,A07,ORDER,2024-01-10 05:59:00,2024-01-10 07:09:00,2024-01-10 19:23:00,4.7,False
T100127,C128,A08,ORDER,2024-04-01 11:47:00,2024-04-01 13:08:00,2024-04-02 01:43:00,4.0,False
T100128,C129,A01,ORDER,2024-03-09 12:54:00,2024-03-09 14:24:00,2024-03-11 07:25:00,4.5,False
T100129,C130,A02,ORDER,2024-03-17 07:55:00,2024-03-17 08:41:00,2024-03-19 17:48:00,3.7,False
T100130,C131,A03,ORDER,2024-03-08 10:30:00,2024-03-08 12:17:00,2024-03-08 21:17:00,4.6,False
T100131,C132,A04,ORDER,2024-03-07 11:19:00,2024-03-07 11:28:00,2024-03-08 23:46:00,4.6,False
T100132,C133,A05,ORDER,2024-01-11 11:22:00,2024-01-11 11:28:00,2024-01-12 03:51:00,4.1,False
T100133,C134,A06,ORDER,2024-03-08 17:13:00,2024-03-08 19:08:00,2024-03-10 22:25:00,3.4,False
T100134,C135,A07,ORDER,2024-04-05 13:56:00,2024-04-05 14:19:00,2024-04-07 06:33:00,4.9,False
T100135,C136,A08,ORDER,2024-02-06 01:16:00,2024-02-06 03:15:00,2024-02-08 00:32:00,4.9,False
T100136,C137,A01,ORDER,2024-03-13 00:09:00,2024-03-13 00:45:00,2024-03-13 19:52:00,4.2,False
T100137,C138,A02,ORDER,2024-01-04 09:51:00,2024-01-04 10:36:00,2024-01-05 07:00:00,5.0,False
T100138,C139,A03,ORDER,2024-02-11 21:47:00,2024-02-11 21:53:00,2024-02-13 20:01:00,4.0,False
T100139,C140,A04,ORDER,2024-02-22 00:53:00,2024-02-22 02:46:00,2024-02-23 02:37:00,3.8,False
T100140,C141,A05,ORDER,2024-04-27 01:42:00,2024-04-27 02:27:00,2024-04-29 03:34:00,3.9,False
T100141,C142,A06,ORDER,2024-01-26 16:18:00,2024-01-26 16:40:00,2024-01-27 03:48:00,3.1,False
T100142,C143,A07,ORDER,2024-02-03 10:49:00,2024-02-03 11:48:00,2024-02-04 08:51:00,4.1,False
T100143,C144,A08,ORDER,2024-02-19 05:32:00,2024-02-19 05:53:00,2024-02-19 13:18:00,4.3,False
T100144,C145,A01,ORDER,2024-04-29 04:58:00,2024-04-29 06:33:00,2024-04-29 11:42:00,3.2,False
T100145,C146,A02,ORDER,2024-04-12 15:57:00,2024-04-12 16:08:00,2024-04-13 11:12:00,3.5,False
T100146,C147,A03,ORDER,2024-01-05 12:34:00,2024-01-05 13:35:00,2024-01-07 00:03:00,4.4,False
T100147,C148,A04,ORDER,2024-01-29 15:19:00,2024-01-29 16:07:00,2024-01-30 02:08:00,4.6,False
T100148,C149,A05,ORDER,2024-04-08 06:43:00,2024-04-08 06:50:00,2024-04-08 13:51:00,5.0,False
T100149,C150,A06,ORDER,2024-01-07 12:37:00,2024-01-07 12:46:00,2024-01-10 03:50:00,3.5,False
T100150,C151,A07,ORDER,2024-04-12 20:38:00,2024-04-12 21:41:00,2024-04-14 09:58:00,4.7,False
T100151,C152,A08,ORDER,2024-02-03 07:35:00,2024-02-03 08:24:00,2024-02-05 11:14:00,3.3,False
T100152,C153,A01,ORDER,2024-04-20 09:30:00,2024-04-20 09:48:00,2024-04-22 13:55:00,3.3,False
T100153,C154,A02,ORDER,2024-02-05 03:55:00,2024-02-05 04:14:00,2024-02-05 11:40:00,4.5,False
T100154,C155,A03,ORDER,2024-02-22 15:19:00,2024-02-22 16:56:00,2024-02-24 12:10:00,3.9,False
T100155,C156,A04,ORDER,2024-03-20 00:46:00,2024-03-20 02:14:00,2024-03-22 14:48:00,4.6,False
T100156,C157,A05,ORDER,2024-01-16 05:58:00,2024-01-16 07:12:00,2024-01-17 14:31:00,3.6,False
T100157,C158,A06,ORDER,2024-03-07 17:06:00,2024-03-07 18:46:00,2024-03-10 07:14:00,3.4,False
T100158,C159,A07,ORDER,2024-03-01 00:27:00,2024-03-01 00:38:00,2024-03-03 20:34:00,4.1,False
T100159,C160,A08,ORDER,2024-04-04 23:44:00,2024-04-05 01:07:00,2024-04-06 15:18:00,3.2,False
T100160,C161,A01,ORDER,2024-04-29 09:41:00,2024-04-29 11:12:00,2024-04-29 17:27:00,3.6,False
T100161,C162,A02,ORDER,2024-03-20 09:34:00,2024-03-20 10:00:00,2024-03-22 06:12:00,3.3,False
T100162,C163,A03,ORDER,2024-02-19 12:52:00,2024-02-19 13:57:00,2024-02-22 04:17:00,3.6,False
T100163,C164,A04,ORDER,2024-02-18 15:20:00,2024-02-18 16:52:00,2024-02-20 09:15:00,4.5,False
T100164,C165,A05,ORDER,2024-02-20 11:01:00,2024-02-20 12:14:00,2024-02-22 20:43:00,3.2,False
T100165,C166,A06,ORDER,2024-04-07 21:13:00,2024-04-07 21:45:00,2024-04-09 11:59:00,4.2,False
T100166,C167,A07,ORDER,2024-02-08 23:05:00,2024-02-09 00:25:00,2024-02-10 05:35:00,4.2,False
T100167,C168,A08,ORDER,2024-01-21 04:48:00,2024-01-21 06:19:00,2024-01-24 00:54:00,4.1,False
T100168,C169,A01,ORDER,2024-02-10 16:57:00,2024-02-10 17:01:00,2024-02-11 04:22:00,4.0,False
T100169,C170,A02,ORDER,2024-01-03 07:13:00,2024-01-03 08:22:00,2024-01-04 15:43:00,4.3,False
T100170,C171,A03,ORDER,2024-01-13 23:53:00,2024-01-14 00:55:00,2024-01-14 11:31:00,4.7,False
T100171,C172,A04,ORDER,2024-01-11 06:04:00,2024-01-11 06:49:00,2024-01-13 05:22:00,3.3,False
T100172,C173,A05,ORDER,2024-04-02 07:04:00,2024-04-02 07:12:00,2024-04-05 01:28:00,4.6,False
T100173,C174,A06,ORDER,2024-03-27 17:08:00,2024-03-27 17:20:00,2024-03-30 16:58:00,3.1,False
T100174,C175,A07,ORDER,2024-03-24 18:56:00,2024-03-24 20:26:00,2024-03-25 12:08:00,4.0,False
T100175,C176,A08,ORDER,2024-02-25 03:05:00,2024-02-25 04:44:00,2024-02-27 07:36:00,4.0,False
T100176,C177,A01,ORDER,2024-03-27 13:20:00,2024-03-27 14:12:00,2024-03-30 04:19:00,3.4,False
T100177,C178,A02,ORDER,2024-01-20 08:17:00,2024-01-20 10:09:00,2024-01-22 20:23:00,3.2,False
T100178,C179,A03,ORDER,2024-04-18 14:40:00,2024-04-18 16:31:00,2024-04-20 03:09:00,3.1,False
T100179,C180,A04,ORDER,2024-03-01 13:21:00,2024-03-01 14:41:00,2024-03-02 02:19:00,3.1,False
T100180,C181,A05,ORDER,2024-04-22 23:39:00,2024-04-23 00:49:00,2024-04-24 09:09:00,4.1,False
T100181,C182,A06,ORDER,2024-01-19 22:24:00,2024-01-20 00:19:00,2024-01-22 06:23:00,3.3,False
T100182,C183,A07,ORDER,2024-02-29 15:41:00,2024-02-29 16:55:00,2024-03-02 12:28:00,4.6,False
T100183,C184,A08,ORDER,2024-03-24 16:18:00,2024-03-24 18:10:00,2024-03-25 20:33:00,4.8,False
T100184,C185,A01,ORDER,2024-02-29 21:34:00,2024-02-29 23:31:00,2024-03-01 13:26:00,3.6,False
T100185,C186,A02,ORDER,2024-02-23 04:24:00,2024-02-23 04:49:00,2024-02-25 03:30:00,3.3,False
T100186,C187,A03,ORDER,2024-01-20 17:25:00,2024-01-20 18:45:00,2024-01-22 00:32:00,3.8,False
T100187,C188,A04,ORDER,2024-02-15 18:31:00,2024-02-15 19:59:00,2024-02-17 04:46:00,4.8,False
T100188,C189,A05,ORDER,2024-01-29 03:03:00,2024-01-29 04:41:00,2024-01-31 22:39:00,3.8,False
T100189,C190,A06,ORDER,2024-02-06 21:09:00,2024-02-06 21:52:00,2024-02-06 22:18:00,3.2,False
T100190,C191,A07,ORDER,2024-03-23 16:47:00,2024-03-23 18:30:00,2024-03-24 10:19:00,5.0,False
T100191,C192,A08,ORDER,2024-03-16 08:19:00,2024-03-16 09:19:00,2024-03-19 02:35:00,4.0,False
T100192,C193,A01,ORDER,2024-03-13 11:37:00,2024-03-13 12:25:00,2024-03-16 06:00:00,3.7,False
T100193,C194,A02,ORDER,2024-02-13 11:45:00,2024-02-13 12:06:00,2024-02-14 09:52:00,4.8,False
T100194,C195,A03,ORDER,2024-04-25 22:03:00,2024-04-25 22:43:00,2024-04-28 21:38:00,4.9,False
T100195,C196,A04,ORDER,2024-01-11 23:15:00,2024-01-12 01:12:00,2024-01-12 14:52:00,4.0,False
T100196,C197,A05,ORDER,2024-02-11 19:21:00,2024-02-11 20:47:00,2024-02-11 23:33:00,3.6,False
T100197,C198,A06,ORDER,2024-01-15 15:39:00,2024-01-15 17:06:00,2024-01-16 14:06:00,4.0,False
T100198,C199,A07,ORDER,2024-02-10 02:29:00,2024-02-10 04:16:00,2024-02-11 16:58:00,3.4,False
T100199,C200,A08,ORDER,2024-04-25 21:57:00,2024-04-25 22:31:00,2024-04-25 22:52:00,4.0,False
T100200,C201,A01,ORDER,2024-02-13 03:12:00,2024-02-13 04:32:00,2024-02-13 15:59:00,3.5,False
T100201,C202,A02,ORDER,2024-04-19 04:00:00,2024-04-19 04:46:00,2024-04-21 13:02:00,4.2,False
T100202,C203,A03,ORDER,2024-02-29 01:40:00,2024-02-29 03:22:00,2024-03-01 22:37:00,4.5,False
T100203,C204,A04,ORDER,2024-03-24 22:44:00,2024-03-24 23:36:00,2024-03-26 18:30:00,4.9,False
T100204,C205,A05,ORDER,2024-02-24 11:50:00,2024-02-24 13:33:00,2024-02-27 11:05:00,4.7,False
T100205,C206,A06,ORDER,2024-02-01 05:39:00,2024-02-01 07:09:00,2024-02-01 22:28:00,3.2,False
T100206,C207,A07,ORDER,2024-04-01 01:56:00,2024-04-01 03:29:00,2024-04-03 18:33:00,3.4,False
T100207,C208,A08,ORDER,2024-04-26 09:53:00,2024-04-26 11:44:00,2024-04-27 11:46:00,4.1,False
T100208,C209,A01,ORDER,2024-02-01 17:22:00,2024-02-01 18:57:00,2024-02-04 11:59:00,3.5,False
T100209,C210,A02,ORDER,2024-04-03 23:52:00,2024-04-04 00:32:00,2024-04-06 08:21:00,3.0,False
T100210,C211,A03,ORDER,2024-02-01 13:15:00,2024-02-01 14:19:00,2024-02-02 05:00:00,4.5,False
T100211,C212,A04,ORDER,2024-03-27 14:34:00,2024-03-27 15:32:00,2024-03-28 06:02:00,3.7,False
T100212,C213,A05,ORDER,2024-04-04 20:03:00,2024-04-04 20:13:00,2024-04-06 11:19:00,3.1,False
T100213,C214,A06,ORDER,2024-02-23 21:38:00,2024-02-23 22:50:00,2024-02-25 10:04:00,4.0,False
T100214,C215,A07,ORDER,2024-03-29 06:42:00,2024-03-29 07:36:00,2024-03-29 23:59:00,5.0,False
T100215,C216,A08,ORDER,2024-02-02 23:48:00,2024-02-03 00:37:00,2024-02-03 18:55:00,4.4,False
T100216,C217,A01,ORDER,2024-01-10 12:27:00,2024-01-10 12:42:00,2024-01-13 05:15:00,3.3,False
T100217,C218,A02,ORDER,2024-01-12 22:19:00,2024-01-12 23:20:00,2024-01-15 04:42:00,4.0,False
T100218,C219,A03,ORDER,2024-02-23 02:49:00,2024-02-23 03:59:00,2024-02-23 16:59:00,4.8,False
T100219,C220,A04,ORDER,2024-04-18 02:20:00,2024-04-18 02:35:00,2024-04-20 06:41:00,3.1,False
T100220,C221,A05,ORDER,2024-01-16 21:13:00,2024-01-16 22:30:00,2024-01-17 08:43:00,4.3,False
T100221,C222,A06,ORDER,2024-02-24 16:08:00,2024-02-24 16:30:00,2024-02-26 00:27:00,4.4,False
T100222,C223,A07,ORDER,2024-03-25 04:12:00,2024-03-25 04:31:00,2024-03-25 05:34:00,4.4,False
T100223,C224,A08,ORDER,2024-01-25 21:28:00,2024-01-25 22:17:00,2024-01-27 20:23:00,3.3,False
T100224,C225,A01,ORDER,2024-03-27 02:27:00,2024-03-27 03:15:00,2024-03-27 15:57:00,4.8,False
T100225,C226,A02,ORDER,2024-02-06 16:22:00,2024-02-06 18:12:00,2024-02-07 09:44:00,3.6,False
T100226,C227,A03,ORDER,2024-04-07 04:55:00,2024-04-07 05:05:00,2024-04-07 18:59:00,3.1,False
T100227,C228,A04,ORDER,2024-03-10 01:41:00,2024-03-10 02:24:00,2024-03-10 15:17:00,3.2,False
T100228,C229,A05,ORDER,2024-03-06 19:20:00,2024-03-06 20:48:00,2024-03-07 01:22:00,3.9,False
T100229,C230,A06,ORDER,2024-01-22 20:20:00,2024-01-22 20:52:00,2024-01-24 12:28:00,3.1,False
T100230,C231,A07,ORDER,2024-02-25 02:32:00,2024-02-25 04:29:00,2024-02-27 17:04:00,4.6,False
